date,year,month,week_start_date,week_number,week_number_year,trailing_7d,attribution_type,channel_type,strategy,platform,channel,market,investment,agency_fees,violet_fee,sessions,phone_calls,form_submissions,leads,first_appointments_completed,second_appointments_completed,repeat_appointments_completed,first_revenue,repeat_revenue,twenty_one_days_revenue,twenty_eight_days_revenue,ninety_days_revenue,one_hundred_eighty_days_revenue,contribution_margin
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Zoc Doc,Zoc Doc,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Zoc Doc,Zoc Doc,Colorado,605.6,0.0,0.0,0.0,0.0,6.0,6.0,3.0,5.0,15.0,570.0,2440.0,0.0,0.0,0.0,0.0,1088.7
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Zoc Doc,Zoc Doc,New York,504.7,0.0,0.0,0.0,0.0,5.0,5.0,6.0,3.0,50.0,1270.0,8122.0,0.0,0.0,0.0,0.0,3323.1
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Retargeting,Facebook,Facebook,New York,148.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,157.0,0.0,0.0,0.0,0.0,58.1
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Facebook,Facebook,New York,182.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Facebook,Facebook,DMV,135.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Facebook,Facebook,Colorado,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unmapped,Facebook,Texas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unmapped,Facebook,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unmapped,Unmapped,Unknown,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unmapped,Facebook,Colorado,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Insurance,Insurance,Colorado,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,14.0,380.0,2304.0,0.0,0.0,0.0,0.0,983.2
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Insurance,Insurance,New York,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,13.0,0.0,2092.0,0.0,0.0,0.0,0.0,750.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Insurance,Insurance,Texas,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Physicians,Physicians,Colorado,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,413.0,1338.0,0.0,0.0,0.0,0.0,662.6
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Physicians,Physicians,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Physicians,Physicians,New York,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,27.0,1011.0,4491.0,0.0,0.0,0.0,0.0,1955.9
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Physicians,Physicians,DMV,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed,Unattributed,Unknown,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
